notes,main,date,Cooperating Partner,Province,Island,Area (Reported),mapper,Location/Village,followup distribution,HH,shelter tool kit,tarpaulin,collapsible jerry can (10L),jerry (20L),hygiene kit,bucket,kitchen set,sleeping mat,blanket,solar lamp,mosquito net,rice (25kg),EC food (for 1 hh 1 day),drinking water (litres),Adm1_Name,Adm1_Code,Adm2_Name,Adm2_Code,Adm3_Name,Adm3_Code,Stle_Name,Stle_Code
offshore Efate1,VRCS,3/29/15,IFRC,Shefa,Nguna,,offshore_nguna_unakapu,Unakapu,,13,13,26,26,,13,,,26,,13,,,,,SHEFA,VUT0105,Nguna,VUT0105068,Nguna (Nguna),VUT0105068031,Unakapu,VUT01050680311002
,VRCS,4/1/15,IFRC,Shefa,Nguna,,offshore_nguna_utanlangi,Utanlangi,,11,10,22,22,,10,,10,,26,43,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Asuas,,16,16,32,32,,16,,,32,32,16,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Hingal,,11,11,22,22,,11,,,22,22,11,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Kelai,,8,8,16,16,,8,,,16,16,8,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Lehili,,5,5,10,10,,5,,,10,10,5,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Lironessa,,34,,68,68,,,,,68,68,34,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Lironetan,,16,16,32,32,,16,,,32,32,16,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Lopevi,,2,,4,4,,,,,2,4,,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Lulepnessa,,13,13,26,26,,13,,,26,26,13,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Lulepnetan,,33,33,66,66,,33,,,66,66,33,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Luli,,20,20,40,40,,20,,,40,40,20,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Nou,,12,12,24,24,,12,,,24,24,12,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,schools & heath centre,,0,,15,23,,,,,23,16,10,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Seneali,,23,18,46,46,,9,,,46,46,23,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Tahalnessa,,9,9,18,18,,9,,,18,18,9,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Tahalnetan,,20,20,40,40,,20,,,40,40,20,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Tahi,,24,24,48,48,,24,,,48,48,24,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Tavaliuat,,21,21,42,42,,21,,,42,42,21,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Malampa,Paama,Paama,paama,Tavie,,23,23,46,46,,23,,,46,46,23,,,,,,,,,,,,
